customer_id,age,annual_income_k,spending_score,purchase_frequency,avg_order_value,loyalty_years,segment_category
CUST_0242,23,43.5,25,13,107.22,2.8,Corporate
CUST_0243,49,103.1,5,11,56.43,3.6,Corporate
CUST_0244,21,78.5,11,10,97.68,5.5,Corporate
CUST_0245,28,39.1,59,6,88.28,4.9,Corporate
CUST_0246,34,60.2,98,12,116.58,9.7,Corporate
CUST_0247,55,43.1,88,13,67.81,2.3,Wholesale
CUST_0248,41,30.4,79,13,35.0,2.0,Corporate
CUST_0249,22,88.2,38,15,105.71,1.5,Retail
CUST_0250,69,112.7,72,16,15.0,0.5,Corporate
CUST_0251,51,30.0,5,6,63.05,2.6,Corporate
CUST_0252,23,79.1,48,10,54.3,1.0,Wholesale
CUST_0253,39,48.7,90,14,54.1,7.6,Wholesale
CUST_0254,28,52.8,18,12,62.53,2.6,Corporate
CUST_0255,65,50.2,70,8,121.52,2.7,Wholesale
CUST_0256,33,43.4,37,11,109.62,1.3,Online
CUST_0257,50,66.2,60,9,77.45,0.2,Wholesale
CUST_0258,26,44.2,48,18,119.01,0.1,Wholesale
CUST_0259,23,71.8,77,11,53.13,1.7,Wholesale
CUST_0260,33,63.7,28,15,49.05,0.3,Wholesale
CUST_0261,46,59.0,69,11,110.91,2.8,Retail
CUST_0262,20,42.3,77,11,102.39,6.4,Retail
CUST_0263,37,50.6,81,13,71.19,6.4,Retail
CUST_0264,53,83.9,40,10,50.94,3.2,Corporate
CUST_0265,36,77.5,45,16,128.79,0.7,Corporate
CUST_0266,43,40.6,96,12,33.4,6.0,Online
CUST_0267,20,67.5,62,19,67.05,6.5,Retail
CUST_0268,36,83.8,93,11,91.86,0.7,Corporate
CUST_0269,37,23.3,58,16,139.06,4.0,Wholesale
CUST_0270,49,78.6,67,15,96.49,1.0,Wholesale
CUST_0271,24,48.4,56,12,99.41,4.9,Retail
CUST_0272,69,79.3,40,6,67.92,15.0,Online
CUST_0273,58,45.9,98,12,102.05,0.1,Online
CUST_0274,50,19.9,40,14,88.16,6.8,Wholesale
CUST_0275,57,24.3,91,8,37.35,2.9,Online
CUST_0276,56,66.2,77,5,108.79,10.9,Retail
CUST_0277,35,71.5,33,10,114.11,1.9,Wholesale
CUST_0278,57,42.4,6,9,109.1,5.6,Corporate
CUST_0279,18,81.0,88,15,86.0,0.2,Corporate
CUST_0280,28,23.5,19,15,56.31,1.2,Online
CUST_0281,45,63.3,80,12,15.72,0.2,Wholesale
CUST_0282,42,34.7,40,7,89.71,11.1,Wholesale
CUST_0283,67,48.7,92,11,117.46,5.1,Corporate
CUST_0284,40,66.2,97,17,114.87,5.7,Wholesale
CUST_0285,48,43.5,59,9,109.48,8.3,Wholesale
CUST_0286,47,55.4,59,14,82.77,0.3,Wholesale
CUST_0287,59,90.2,48,13,117.62,1.5,Online
CUST_0288,52,50.6,41,10,112.72,0.2,Wholesale
CUST_0289,24,85.9,13,8,72.32,0.7,Retail
CUST_0290,33,36.8,45,13,105.3,0.8,Online
CUST_0291,43,78.2,89,14,68.92,1.9,Wholesale
CUST_0292,65,101.0,53,14,101.2,0.9,Wholesale
CUST_0293,69,15.0,42,6,46.03,0.3,Retail
CUST_0294,66,45.1,63,12,48.33,0.5,Online
CUST_0295,19,79.4,27,19,116.75,0.5,Corporate
CUST_0296,18,59.9,38,14,113.13,10.8,Corporate
CUST_0297,65,74.3,60,11,104.01,4.3,Online
CUST_0298,29,49.9,7,12,87.64,10.3,Wholesale
CUST_0299,22,67.2,5,12,15.0,1.7,Wholesale
CUST_0300,54,61.1,45,12,82.75,1.0,Corporate
CUST_0301,49,94.2,58,15,98.63,4.8,Corporate
CUST_0302,26,71.4,31,9,68.96,1.2,Corporate
CUST_0303,58,73.4,23,10,63.63,1.1,Retail
CUST_0304,52,54.7,42,12,128.33,0.8,Corporate
CUST_0305,36,52.8,10,17,83.19,0.4,Retail
CUST_0306,65,54.2,32,15,98.64,0.9,Online
CUST_0307,33,74.9,53,5,108.22,1.3,Wholesale
CUST_0308,20,54.5,30,18,54.96,3.4,Corporate
CUST_0309,37,72.2,39,12,90.8,0.2,Wholesale
CUST_0310,41,116.9,31,11,124.59,0.7,Wholesale
CUST_0311,50,86.8,82,21,139.58,5.0,Corporate
CUST_0312,41,56.8,2,12,86.2,0.5,Corporate
CUST_0313,69,95.0,78,15,77.86,1.3,Online
CUST_0314,28,54.8,77,13,93.07,6.0,Retail
CUST_0315,66,15.0,93,11,92.31,0.5,Retail
CUST_0316,25,39.8,12,12,126.6,0.3,Wholesale
CUST_0317,53,18.2,39,14,55.11,2.0,Corporate
CUST_0318,55,56.2,66,10,76.6,1.1,Online
CUST_0319,57,65.5,96,17,51.49,2.5,Online
CUST_0320,37,106.9,13,9,54.64,4.9,Online
CUST_0321,52,73.2,46,17,96.3,0.4,Online
CUST_0322,65,59.5,27,8,109.3,2.6,Online
CUST_0323,42,85.7,17,13,65.52,2.1,Retail
CUST_0324,52,15.0,95,14,108.16,0.5,Retail
CUST_0325,42,70.9,98,11,118.35,2.9,Retail
CUST_0326,46,84.3,60,12,143.04,1.0,Corporate
CUST_0327,35,28.0,64,17,87.09,2.0,Wholesale
CUST_0328,63,93.6,88,14,65.81,0.3,Online
CUST_0329,35,73.5,35,12,54.93,1.8,Corporate
CUST_0330,19,54.6,70,10,51.95,1.1,Online
CUST_0331,52,80.8,83,16,122.49,5.2,Retail
CUST_0332,33,121.8,30,10,39.55,0.2,Corporate
CUST_0333,58,69.5,71,16,121.53,1.6,Retail
CUST_0334,53,71.2,74,8,58.95,1.8,Online
CUST_0335,50,53.5,96,16,64.44,3.9,Online
CUST_0336,21,43.8,98,9,80.45,2.6,Wholesale
CUST_0337,50,85.8,63,10,63.89,3.3,Online
CUST_0338,31,43.6,28,15,112.96,4.5,Retail
CUST_0339,38,66.8,60,13,139.4,5.9,Online
CUST_0340,65,53.1,79,16,65.28,1.1,Wholesale
CUST_0341,37,77.0,94,7,72.03,2.3,Wholesale
CUST_0342,25,73.3,37,10,80.1,5.5,Retail
CUST_0343,24,90.9,93,6,101.23,13.7,Corporate
CUST_0344,20,52.2,22,16,80.4,6.6,Online
CUST_0345,34,58.3,68,16,126.62,1.4,Wholesale
CUST_0346,50,40.5,20,13,119.4,0.7,Online
CUST_0347,65,53.9,96,12,49.44,2.0,Online
CUST_0348,29,74.4,68,9,100.63,4.1,Corporate
CUST_0349,68,83.9,91,10,130.61,2.0,Wholesale
CUST_0350,39,41.9,64,14,70.16,2.0,Online
CUST_0351,39,86.7,17,17,76.17,5.5,Wholesale
CUST_0352,63,98.9,12,13,69.16,1.3,Retail
CUST_0353,47,75.3,22,11,69.79,5.9,Retail
CUST_0354,55,111.9,17,16,34.95,1.6,Online
CUST_0355,55,45.7,10,7,45.15,1.2,Wholesale
CUST_0356,62,33.9,65,18,87.32,1.8,Online
CUST_0357,68,20.5,22,16,130.41,4.3,Wholesale
CUST_0358,25,102.4,90,15,66.6,0.4,Wholesale
CUST_0359,44,81.4,82,10,65.72,0.7,Corporate
CUST_0360,44,63.6,50,10,136.05,9.1,Corporate
CUST_0361,51,72.0,14,7,51.75,0.6,Corporate
CUST_0362,38,36.9,64,12,35.16,2.5,Online
CUST_0363,47,126.1,47,9,60.14,2.6,Corporate
CUST_0364,50,68.2,29,12,65.12,2.0,Corporate
CUST_0365,45,67.7,76,13,32.58,3.1,Retail
CUST_0366,64,83.1,36,10,81.16,0.8,Wholesale
CUST_0367,50,77.0,99,16,113.45,2.4,Wholesale
CUST_0368,22,70.6,52,8,46.42,1.4,Corporate
CUST_0369,65,45.2,76,9,87.63,3.3,Wholesale
CUST_0370,36,76.8,7,12,96.88,0.5,Retail
CUST_0371,21,112.1,29,16,82.5,2.5,Retail
CUST_0372,52,98.6,11,7,90.57,0.6,Corporate
CUST_0373,66,104.8,33,13,90.92,1.0,Retail
CUST_0374,34,52.2,6,11,60.62,0.7,Wholesale
CUST_0375,61,40.3,79,11,129.96,0.6,Online
CUST_0376,45,61.9,32,11,122.43,5.2,Wholesale
CUST_0377,47,66.4,51,13,120.7,1.0,Online
CUST_0378,46,92.4,75,14,115.41,7.9,Corporate
CUST_0379,63,22.7,58,12,37.75,10.5,Online
CUST_0380,23,103.2,87,11,112.78,2.5,Retail
CUST_0381,52,61.0,26,13,104.67,0.5,Wholesale
CUST_0382,58,54.3,98,12,38.9,1.4,Online
CUST_0383,54,39.7,46,6,78.55,4.8,Wholesale
CUST_0384,41,23.6,98,10,93.3,1.4,Corporate
CUST_0385,46,85.6,29,4,134.93,0.3,Corporate
CUST_0386,66,66.8,4,10,106.74,2.4,Retail
CUST_0387,63,32.8,81,8,59.06,5.6,Corporate
CUST_0388,48,32.6,99,10,135.86,4.8,Online
CUST_0389,52,56.6,13,12,86.31,0.6,Corporate
CUST_0390,50,106.7,39,3,77.32,3.4,Retail
CUST_0391,69,58.5,15,10,75.19,0.7,Wholesale
CUST_0392,38,27.4,29,13,36.29,0.7,Wholesale
CUST_0393,49,58.9,29,10,81.71,6.2,Corporate
CUST_0394,40,58.2,75,11,99.92,0.9,Online
CUST_0395,50,15.0,32,13,73.44,0.9,Retail
CUST_0396,20,63.6,2,10,97.61,0.1,Online
CUST_0397,35,59.2,47,17,59.07,6.1,Retail
CUST_0398,42,82.4,78,7,80.77,4.7,Corporate
CUST_0399,59,111.2,84,11,94.5,3.0,Retail
CUST_0400,48,93.2,22,11,90.69,4.2,Retail
CUST_0401,20,58.3,75,14,36.84,0.5,Corporate
CUST_0402,57,37.3,27,10,71.83,1.8,Online
CUST_0403,63,129.3,67,4,135.32,1.3,Corporate
CUST_0404,41,66.5,81,14,70.23,0.3,Retail
CUST_0405,67,65.3,56,11,85.47,2.0,Corporate
CUST_0406,49,64.4,92,11,82.4,7.6,Retail
CUST_0407,64,70.0,93,11,132.05,0.1,Corporate
CUST_0408,39,61.4,21,6,123.71,1.0,Wholesale
CUST_0409,40,50.7,47,14,109.23,0.7,Wholesale
CUST_0410,19,51.3,80,10,55.8,0.8,Corporate
CUST_0411,44,64.2,59,18,95.78,7.2,Online
CUST_0412,59,51.4,84,8,102.04,1.9,Retail
CUST_0413,19,47.2,6,11,64.04,1.9,Wholesale
CUST_0414,43,67.7,19,12,58.88,4.3,Online
CUST_0415,34,58.6,57,4,136.15,0.5,Retail
CUST_0416,57,102.6,69,13,75.98,2.0,Wholesale
CUST_0417,50,15.0,3,14,133.45,1.7,Wholesale
CUST_0418,26,92.3,1,16,114.91,2.7,Corporate
CUST_0419,60,96.2,58,11,97.24,15.0,Retail
CUST_0420,65,15.0,38,9,98.58,4.4,Online
CUST_0421,56,56.4,15,15,42.99,1.5,Online
CUST_0422,46,55.7,34,11,91.2,5.3,Online
CUST_0423,59,29.8,61,13,127.51,0.6,Retail
CUST_0424,43,45.6,35,13,105.44,0.1,Online
CUST_0425,52,37.2,64,14,89.63,0.7,Online
CUST_0426,67,108.8,25,8,136.36,1.2,Online
CUST_0427,42,88.4,24,8,79.45,2.1,Corporate
CUST_0428,41,96.8,12,10,66.41,2.9,Corporate
CUST_0429,30,83.0,18,13,89.61,7.2,Retail
CUST_0430,24,36.8,15,6,107.99,2.1,Retail
CUST_0431,53,51.9,80,10,33.47,2.1,Online
CUST_0432,62,77.2,27,13,93.55,0.2,Corporate
CUST_0433,37,34.4,72,11,109.31,0.1,Wholesale
CUST_0434,18,82.8,60,8,76.91,2.4,Wholesale
CUST_0435,25,59.0,46,21,118.21,1.7,Online
CUST_0436,63,55.6,89,3,104.24,5.5,Online
CUST_0437,33,82.8,17,11,149.24,0.5,Corporate
CUST_0438,31,76.1,93,11,62.48,0.1,Corporate
CUST_0439,29,56.0,53,17,109.92,1.8,Corporate
CUST_0440,68,94.0,8,20,54.48,0.8,Retail
CUST_0441,40,38.0,79,17,36.54,0.2,Retail
CUST_0442,32,80.4,27,11,23.93,3.9,Online
CUST_0443,45,79.8,46,10,101.15,0.4,Retail
CUST_0444,51,57.3,50,8,90.53,2.8,Corporate
CUST_0445,19,73.2,71,12,70.63,1.0,Corporate
CUST_0446,49,33.7,3,16,31.79,0.6,Retail
CUST_0447,40,88.1,93,10,64.29,1.4,Wholesale
CUST_0448,39,60.4,64,8,85.12,4.9,Online
CUST_0449,68,51.9,44,10,108.8,1.5,Wholesale
CUST_0450,42,91.2,53,10,84.5,4.2,Online
CUST_0451,39,47.4,24,7,92.56,0.4,Wholesale
CUST_0452,39,29.8,60,13,73.72,4.4,Retail
CUST_0453,66,26.1,3,17,137.48,0.8,Online
CUST_0454,69,80.2,20,13,54.45,3.4,Online
CUST_0455,59,33.0,46,8,64.02,2.5,Online
CUST_0456,23,108.9,15,12,70.23,7.9,Corporate
CUST_0457,32,15.0,25,14,101.28,1.5,Corporate
CUST_0458,60,107.4,94,17,53.83,0.2,Wholesale
CUST_0459,54,70.3,78,15,89.07,0.1,Retail
CUST_0460,50,62.6,71,15,89.95,5.3,Corporate
CUST_0461,25,51.4,17,8,64.17,2.2,Online
CUST_0462,61,75.0,84,16,94.9,4.5,Corporate
CUST_0463,61,64.1,9,11,54.77,0.8,Retail
CUST_0464,22,92.6,38,9,51.49,1.3,Corporate
CUST_0465,56,67.9,48,11,87.99,0.1,Online
CUST_0466,21,68.8,60,12,35.21,9.8,Wholesale
CUST_0467,23,55.9,63,11,20.66,3.3,Online
CUST_0468,62,63.6,86,15,100.98,8.1,Retail
CUST_0469,49,72.7,2,20,116.47,0.9,Wholesale
CUST_0470,69,22.2,88,11,71.0,2.8,Corporate
CUST_0471,47,31.3,72,17,64.96,3.4,Corporate
CUST_0472,64,83.6,11,17,115.17,1.1,Corporate
